Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778448894,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778448895,4,GET,GET /api/v1/questionnaires/active,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,43,39.50153333304721,30.86633999919286,44.17706800086307,0.0
1778448895,4,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,740,760.1819740011706,736.4814120010124,784.754337000777,360.0
1778448895,4,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,7,0,740,451.3189280005463,30.86633999919286,784.754337000777,205.71428571428572
1778448896,8,GET,GET /api/v1/questionnaires/active,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,43,39.50153333304721,30.86633999919286,44.17706800086307,0.0
1778448896,8,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,8,0,780,847.6938006260752,736.4814120010124,996.5048710000701,360.0
1778448896,8,,Aggregated,0.000000,0.000000,780,900,910,910,940,1000,1000,1000,1000,1000,1000,11,0,780,627.2777277279766,30.86633999919286,996.5048710000701,261.8181818181818
1778448897,12,GET,GET /api/v1/questionnaires/active,0.000000,0.000000,85,85,85,85,85,85,85,85,85,85,85,5,0,44,57.270021000294946,30.86633999919286,84.50577700205031,0.0
1778448897,12,POST,POST /api/v1/auth/login,0.000000,0.000000,940,940,1000,1000,1000,1000,1000,1000,1000,1000,1000,8,0,780,847.6938006260752,736.4814120010124,996.5048710000701,360.0
1778448897,12,,Aggregated,0.000000,0.000000,740,780,900,910,940,1000,1000,1000,1000,1000,1000,13,0,740,543.6846546161597,30.86633999919286,996.5048710000701,221.53846153846155
1778448898,16,GET,GET /api/v1/analytics/health-board,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,74,522.6495343328376,57.194387998606544,1436.493793000409,75.0
1778448898,16,GET,GET /api/v1/analytics/summary,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,89,749.8497945016425,88.78721800283529,1410.9123710004496,75.0
1778448898,16,GET,GET /api/v1/questionnaires/active,1.500000,0.000000,85,85,85,85,85,85,85,85,85,85,85,5,0,44,57.270021000294946,30.86633999919286,84.50577700205031,0.0
